Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
2	2	0.06152316440703892	0.38967019347991383	0.027840289003977763	0.42372238988919325	0.5016531112097952	0.5984762975451411	0.7420595348802287	52002	4312
2	3	0.09937899401237876	0.7281083181716393	0.03448570394109191	0.533171080449525	0.6970208833001678	0.8209141681013612	1.1560187232326433	50473	3957
2	4	0.1498964208300517	1.202165894661889	0.05342243860303939	0.6271922194533587	0.8723822933353104	1.0637535412966828	1.6259038477786047	48962	3606
2	5	0.20444110898746318	1.6614120735062494	0.0753958727642669	0.7016615224376992	1.0219287865851772	1.2651382226228653	2.0953430895197007	47451	3257
2	6	0.2783707678708618	2.398941472297957	0.09524499707809506	0.7932577692335537	1.1946917393063985	1.5524218515044328	2.63770811904996	45954	2916
2	7	0.38890648197377703	3.4582302602561743	0.1296403522666158	0.9035161595790991	1.4017120571966097	1.880384552210796	3.2008500981738357	44472	2577
2	8	0.4142667638537985	4.106333216615751	0.13823734587997774	0.9435926577509965	1.5049324004095317	2.032259552801172	3.5501378890791804	43010	2248
2	9	0.5290603573714103	4.895870347385821	0.1973114626305828	1.03807646994107	1.6709138396547658	2.261783435892301	4.068203877320015	41567	1924
2	10	0.666240998978772	7.048301133108728	0.22192708187073074	1.1493537933451372	1.8696875480039326	2.750395994200885	4.859916943662298	40154	1621
2	11	0.7521598471025013	8.470906371801671	0.24723476892258783	1.213365893508095	1.9970987321472655	3.045855030852049	5.410075905268076	38763	1335
2	12	0.9120983497116221	10.336473147074381	0.28072123961093687	1.2949020135908442	2.1604305910861084	3.453442239081139	6.082303597050996	37395	1069
Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
3	2	0.0412878817618356	0.3954541972581891	0.012972902540642501	0.3934036863156314	0.4559333350146576	0.570766507631412	0.7027197898743716	50473	3957
3	3	0.05798781868728875	0.6591456019404259	0.0220754756790086	0.44452529066882945	0.5705762841214279	0.735403637601033	1.012224816601225	48962	3606
3	4	0.08132942274433098	1.1049009289533374	0.028166634911195945	0.5109931561838592	0.7023207289147299	0.9763727115205223	1.4739704404370257	47451	3257
3	5	0.13161771107821446	1.5325596857221186	0.054075504095182705	0.6070574228843747	0.8731275718276754	1.1492532231397838	1.82892239858132	45954	2916
3	6	0.1860512839991804	2.193223558030687	0.058258708717549096	0.6770921022235918	1.0104524629733274	1.4493752542513527	2.38400988318911	44472	2577
3	7	0.2266979142208106	2.9203959802786508	0.07606120778175976	0.7401256402178094	1.1336843823423595	1.6450893610666797	2.8372565772491196	43010	2248
3	8	0.3293103063961009	3.702164733539457	0.094219766789705	0.8738511617011343	1.3619970951838856	1.9459344731062778	3.3747775917853544	41567	1924
3	9	0.3912040268986307	5.376544762540747	0.12811193517409813	0.9165615398831225	1.4636414448319293	2.360735517269154	4.090014808063151	40154	1621
3	10	0.4534575868173668	7.289468298495655	0.13392669677212038	0.9939578038763633	1.6088936361379795	2.702252524085354	4.6028825031269465	38763	1335
3	11	0.6142481726044452	8.524385066827138	0.19164224771543867	1.091707930643678	1.77823505868455	2.9787596335066238	5.194351217771801	37395	1069
3	12	0.6801475023467906	10.471348462104798	0.21494278794442628	1.1608294709121356	1.9205187470958909	3.2979665571006187	5.65860609946805	36061	825
Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
4	2	0.02978547298081332	0.4259968442898808	0.010824528747431384	0.34084017505780867	0.39468122219550444	0.6088222710714967	0.7577223874098559	48962	3606
4	3	0.04489119502699007	0.6157047425707182	0.01576920809283909	0.4037192959076845	0.5144417860351728	0.7234675095086753	0.9862855800886066	47451	3257
4	4	0.06646206004112998	1.1728656075331343	0.022017270148983803	0.4676930448903162	0.6375917796400628	0.98436796571679	1.457361873957684	45954	2916
4	5	0.10010965143042395	1.5839271109114896	0.032012442632052725	0.5459721646489173	0.7801440780456892	1.1679516475932303	1.8074177045525932	44472	2577
